seatno	assignment	score	grade	comment
001	W09	205	78	  這周講師的主題是Azure Machine Learning Studio。   Azure Machine Learning，是一種雲端式環境，可用來定型、部署、自動化、管理及追蹤 ML 模型。Azure Machine Learning 可用於任何一種機器學習，從傳統 ML 到深度學習、受監督和不受監督的學習。 無論您想要撰寫 Python 或 R 程式碼或使用零程式碼/低程式碼選項 (例如設計工具)，都可以在 Azure Machine Learning 工作區中建立、定型和追蹤高精確度的機器學習和深度學習模型。   開始訓練您的本機電腦，然後向外擴充到雲端。   此服務也會與熱門的開放原始碼工具 (例如 PyTorch、TensorFlow 和 scikit-learn) 交互操作。  
002	W09	185	72	  本周的企業雲端應用趨勢與實務課程主要講的是Azure machine learning services跟Azure notebook using python，而Azure machine learning也就是機器學習，機器學習是提供雲端架構的環境，可用於準備資料、定型、測試、部署、管理及追蹤機器學習服務模型。 開始訓練您的本機電腦，然後向外擴充到雲端。 此服務完全支援開放原始碼技術，例如 PyTorch、TensorFlow 和 scikit- learn，並可用於任何一種機器學習，從傳統 ML 以至深度學習、監督式和非監督式學習。探索和準備資料、定型和測試模型，以及使用豐富工具加以部署。而今天也有學到了些許的PYTHON，雖然PYTHON這部份是我比較少用到的，但透過今天的課程又讓我稍微熟悉了一點，相信今天的課程對未來的幫助很大，謝謝今天的講師。  
003	W09	223	84	  今天介紹企業應用等等的大觀念，在數據為王的時代，看大數據如何結合行銷顛覆傳統，分析大概分為三種，業務驅動、數據驅動、方法驅動，遺漏值補充為完整性主要考察變亮的缺失情況，介紹在數據上其中的一點也可能改變一切，講說企業在做分析的時候，需要顧慮考量的範圍，例如能節省成本，即使物件本身是對的甚至很有資訊量，還是有可能做移除等等的動作，物體穩定性、時間窗口、數據離散化、變量篩選的講解，做大數據分析的一連串過程、講述  
004	W09	178	69	  今天的演讲主题为 Azure Machine Learning Services + Azure Notebook using Python。   数据分析帮助业务驱动，不然需花大量的时间做分析与研究。   DATA可影响产品销量   资料来源，资料分析，资料储存   资料从哪里来   经过了什么处理才能在资料库看到      Data mining  
005	W09	148	64	  今天講師分享了他自己起初的就業經驗 &  接著介紹 **Machine Learning Studio** & **Machine Learning Studio Diagram**  介紹各種資料操作和統計函數來轉換和分析該資料，然後產生一組結果。開發此類模型是一種反覆式過程。 隨著您修改各種函數及其參數，結果會不斷收斂，直到您對已訓練的有效模型感到滿意為止。提供互動式的視覺化工作區，讓您輕鬆建置、測試和反覆運算預測分析模型。  這是一個微軟機器學習的工具，編輯模式為node鏈結，是一種很普遍的可視化編程。工具整體來說上手速度極快、邏輯清晰，對新手或是只需要基礎ML功能的人十分適合，其圖形化介面以及拖拉操作介面，讓程式語言技能初階但又有資料分析與機器學習需求的人容易了解Machine Learning Studio 。  
006	W09	180	70	  Azure Machine Learning   加速整體的機器學習生命週期   提供開發人員和資料科學家各式各樣的生產經驗，讓建置、訓練及部署機器學習模型更加快速。採用領先業界的 MLOps   (機器學習 DevOps) 加快產品上市的時間，以及促進團隊合作。在專為可靠的 AI 而設計之平台上進行創新。   Azure Machine Learning   利用強固的 MLOps 大規模運作   MLOps 或適用於機器學習的 DevOps，可簡化從建置模型到部署及管理的機器學習生命週期。   使用 ML 管線建置可重複的工作流程，以及使用豐富的模型登錄來追蹤資產。使用進階警示與機器學習自動化功能，   大規模管理生產工作流程。從雲端到邊緣，都能以企業等級剖析、驗證及部署機器學習模型來大規模管理生產 ML 工作流程。  提高產能及存取所有技能等級皆可使用的 ML   使用不分技能等級，並符合您的需求的工具，快速建置及部署機器學習模型。   以無程式碼設計工具開始著手，或使用內建的 Jupyter Notebooks 採行程式碼先行的路徑。   利用自動機器學習 UI 加快建立模型的速度，並利用內建的功能工程、演算法選擇及超參數整理，開發高度精確的模型。  
007	W09	207	79	  現在的我們都還是學生，還是留在我們每個人自己的舒適圈，所以當有機會就要好好把握住，因為有些機會就一次，錯過就不會再來了。而當每個人都夢想著進去google、微軟、AWS等大公司，那為什麼有些人能夠進去，有些人卻只能眼睜睜看著夢想繼續當個小職員，想想那些人的競爭是這麼強，而且上進心也非常強烈，那樣能力強的人還是在努力而且當不會某件事，還在盡全力將所有東西吸收，什麼都要會。那還活在自己舒適圈的我們，不好好努力，那個差距久而久之，就會大大拉開而永遠跟不上，那是如此的現實真實，所以我們每天都該警惕自己努力向上。    
008	W09	266	95	  今天這位講師的風格跟以往都不太相同，覺得他酷酷的，但散發出經驗很豐富得感覺，所以會吸引人注意想要更專心聽！課堂中講到數據分析分為業務驅動、數據驅動、方法驅動，當下講師問了我們覺得哪一項比較重要？我原本以為是數據的部分，想說現在數據量很大，也都是在用這些數據處理事情的，但講師他自己的回答是覺得業務驅動比較重要，一開始我滿驚訝的，但聽了他的分享後就覺得滿合理的。  在現在數據為王的時代，如果能把大數據結合行銷才是最有效的，因為顧客的條件很多，也會常常更動，根本不知道之後還會有什麼變化，但這時候業務如果也能預測或是去掌握這些變動，對於公司、處理這些資料的單位也都有益，也可以滿足消費者他們所需要的，皆大歡喜，因此業務驅動真的很重要。  
009	W09	269	97	  今天的課主要是在教有關於分析的案例與實作，感覺這次的課學到的東西特別多，不知道是不是因為這位講師以前是淡江地所以講了很多道理與觀念，好心地跟我們說我們目前的毛病與壞習慣，像是遇到問題不敢問、因為害怕就不敢去嘗試...等，其實就像這位講師說的，這些很多都是我的壞毛病，有問題不敢舉手也是目前台灣很多學生的毛病包括我。  今天講師還講到一個很重要的事也是我一直在提醒自己的，就是很多可以透過網路搜尋到的就沒資格說做不到，只是時間的問題而已，沒有挑戰怎麼會快速的進步。  
010	W09	192	73	  經過這禮拜的老師解說Azure Machine Learning Studio，讓我知道機器學習是一項資料科學技術，可讓電腦使用現有資料來預測未來的行為、結果和趨勢。 使用機器學習，電腦不需要明確進行程式設計就能學習。機器學習的預測可讓應用程式和裝置更聰明。 例如，當您線上購物時，機器學習服務可根據您已經購買的產品，協助推薦其他您可能會想要的產品。 或是當您的信用卡被刷過時，機器學習服務可將該筆交易與交易資料庫進行比對，協助偵測詐騙。 而且，當您的吸塵器機器人清潔房間時，機器學習服務可協助它判斷作業是否已完成。  其中最有印象的部分是講師在講解數據分析那段，因為我對於大數據的分析有興趣。一點改變一切，這句話印象深刻。  
