seatno	assignment	score	grade	comment
001	W02	229	75	  今天講師介紹了許多微軟開放的API.RESOURCE，包括Face Api...，介紹Azure平台的收費方法，並讓同學們一起申請Azure學生帳號，一步一步帶著同學實作，我覺得這種教學方式雖然可能進度會比較慢，但是同學在學習上可以比較清楚的了解．今天大概跟著講師操作後，對Azure有更近一步一點的了解，其實前陣子有稍微玩過看過Azure，可是這對還是新鮮人的我們來說實在是有點陌生，因此我還滿期待下次講師上課的時候可以帶著我們實作甚至是帶著我們應用．  
002	W02	250	78	  今天演講的內容中，令我印象深刻的部分是有關於AI的應用，像是將AI運用於地球的人工智能、運用於無障礙設備的人工智能、運用於人道行動的人工智能，這些應用與人們的生活息息相關，也對人類的生活有相當大的幫助，相信AI效益是永恆的，若能夠多多栽培AI方面的人才，相信在未來的生活上衣定會更加便利有效率。  演講的後半部分，講師也介紹了我們學生版的AZURE，讓我們先摸索試用看看AZURE，其實在講師介紹前並沒有聽過微軟的這項軟體，希望能透過這堂課學到不少自己以前從未接觸過的技術。  
003	W02	267	83	  Azure app介紹，這禮拜一開始講說其大數據、雲端運算、強大演算法，現在科技不斷創新，各種程式接連推出，而現在的主流就是藉由AI系統來獲取利潤，並評估在2022年由AI達成的商業利益會達到$3.9T，Azure Cognitive Services的構成，由Decision、Speech、Language、Vision所組成，利用影片的解說讓我們更了解Microsoft Bulid，以及這些對話機器人的用途功能，介紹Devops軟體開發和Mlops機器流程的大致功能，介紹AI的優點，開啟Azure介紹基本功能。  
004	W02	77	61	  今天請了Ethan 講師介绍Microsoft的Azure machine learning。他在課程開始先解释AI 产业、所帶來的效益及其未來發展。同時讓我們看看Microsoft正在進行的計畫。   課程中提到Azure cognitive services分别有   Vision：識別，辨認照片影片的內容,   Speech：將語音檔轉成文字檔，並利用客製化訓練提升準確度,   Language：可更了解使用者所說的語言,   Knowledge知識,   Searching：類似爬蟲，搜尋各個網頁，   Decision決策：幫助做更精準的決策   其中有说到各个领域的重点分别为custom vision, custom speech, text analytics, QnA maker等等.  另外講師也提了Azure machine learning service.其中2大重點為   simplify machine learning: automated machine learning UI, visual interface, machine learning notebooks.   End to end machine learning.  他也說AI不只用於產業，可用於AI for earth, accessibility, humanitarian action.   Azure账号建立教学. 平台介绍。   上完今天的課程讓我覺得AI的用處真的很廣，超乎我的想像。也讓我對Azure這個平台更掌握，希望能儘快學玩，自己試做一個案例。希望下次上課能夠切螢幕，不然看不太清楚。  
005	W02	257	81	  Artificial Intelligence  了解一下微軟的願景，人們與AI之間的互動，自然語言理解，語意分析：當AI理解了人類的問題後，便會以擬人的判斷作出對應文案來進行溝通。隨著時間的積累，資料的各式各樣蒐集了過去的活動，提高AI預測的準確度，讓系統愈來愈進步。  AI不但可以跟人類進行溝通，利用迴歸分析發展出相對應的方程式，幫我們作出決策、預測、分析、判斷，更包括擬人類感官的語音識別、視覺識別、醫學診斷，AI在未來必然遍佈於各行各業，把服務轉化為自動化技術，處理過程迅速且即時，使服務變得速度快、效率高，創造更好的經營績效。所以人工智慧在未來發展中是個重要的領域。  
006	W02	253	80	  微軟講師向我們解釋關於雲端的一切，包含AI人工智慧也有解釋到，  雲端裡的大數據太過於龐大以及複雜，但它是可以取代人力的一項重大科技，  在虛擬化的世界裡面，電腦其實無所不能，除了缺乏人類的情感以外，  它的智慧其實很龐大，從一開始人類所給予的基本功能到現在幾乎一應具全，是多麼驚人的一項發展，而雲端科技在未來也必定是非常具有重要影響力的，  存在於這個世界上的每個角落，也是將來解決社會重大議題的重要技術，  是不容小覷的以及人類需要更加努力學習的。  
007	W02	264	82	  聽完演講後，很期待下一堂課能夠學習到微軟azure相關技能技術，也希望透過訓練模型看到某些結果，而且現今的AI發展也越來越普遍，科技的趨勢各個都朝向人工智能發展，例如:custom speech,自然語言...等技術，然後大多的產業漸漸轉型，越是規律的工作，判斷越是精準快速。看到這麼多樣的服務，透過服務與服務的串接，給予使用者更方便得運用平台的技術，如果之後有時間能夠在此平台上做一個小小的專案，我想也是個不錯的練習，尤其是看到影片的呈現，如此精準的紀錄生活小細節，好好判斷使用者的語言與口氣方式，提供最佳的應答與資訊，而且最神奇的地方就是機器人能夠跟機器人對話，是多麼神奇的事，這讓我更想投入其中。  
008	W02	214	73	  很開心這次的主題在介紹Azure！因為在製作專題時，就有使用到Azure裡頭的Cosmos DB，透過這次的機會就更了解Azure的相關資訊。Azure Cognitive Services裡分為Decision、Vision、Language、Speech、Web search，其中最有興趣的是Vision的部分，當講師提到裡頭的Face API時，真的讓我充滿好奇心，因為人臉辨識在現代已經是很平常的應用了，但還是覺得很神奇，畢竟透過人臉辨識應該是一個很難去做假的東西，因此對於裡面的操作很感興趣。只是如果像是在手機裡頭都會有相簿的人臉辨識，有時還是會發生辨識錯誤，是因為應用在手機的技術還不夠精緻嗎？而Video indexer也是令人期待的技術，就像是講師說的，可以辨識電影的場景還有一些關鍵詞，這讓我覺得很適合運用在教學的影片上，可以很快地找出重點，有效的學習。  聽完講師的演講以後發現人工智慧成長的好快，講師介紹人工智慧也介紹的鉅細靡遺，讓原本不太熟悉人工智慧的我有新的一番見解，了解到人工智慧是希望接近人類的感知能力，從視覺能力，語言能力，翻譯能力，閱讀能力都有顯著的進步，讓我對未來的世界充滿好奇也相當期待科技的革新，在演講中講師還提到機器學習，裡頭有相當重要的一環就是整理資料，在現在數據爆炸的時代，如何讓龐大的資料有條理地呈現，並從中找出重要的訊息也是一門很重要的課題。而機器學習也是一種人工智慧，從複雜的樣本當中學習以創造演算法並作出預測，讓我感到非常不可思議，真的很感謝講師的這一場演講讓我大開眼界。  
009	W02	247	78	  今天聽完這堂主要是講有關於AI還有大數據的課後，真的是有種大開眼界的感覺，雖然已經聽過很多次類似的課了，但每次聽總是會又聽到令我感到訝異的事，像是這堂課有播到一個影片再講未來可能會發生的事，在講說未來會利用AI可以跟手機機器人直接溝通問他今天的行程有哪些，不只這樣還可以跟機器人說哪些行程要延遲哪些要刪掉，最厲害的是還可以和另外一台手機的機器人溝通，未來如果真的出現了這樣的技術，真的是會方便了很多呢~不只可以利用在公司也可以利用在各種地方，真想趕快到那個理想中的未來。  
010	W02	223	74	  聽完講師說明之後，了解使用Azure相當容易，基本上只要具備微軟帳號然後開通Azure功能就好了。開通Azure需要輸入信用卡號碼預備日後扣款，但試用期間是不會被扣款，只會事先收到0元帳單。  Azure功能剛開通的時候，每個帳號都可以試用30天，所以為了避免這30天白白浪費，一定要想清楚再開通Azure功能。  Azure作為雲端平台，顧名思義是可在上面佈署Web APP、Mobile APP、SQL Server、儲存體等等……以及許多我都不知道幹嘛用的服務。對我而言，Azure是個架設網站的好地方。  而且，如果你的網站是屬於低流量網站，那可能根本不會超過一個月的免費額度。一個月使用費完全是零。所以大家都滿推薦使用Azure，因為對於低流量使用者而言，Azure真的很划算。  
