seatno	assignment	score	grade	comment
001	W06	158	67	  本週的講師介紹了Azure Bot framework。別於平常聽到的聊天機器人，這比較像任務機器人。Azure提供的服務可以輕鬆地建立Bot，透過平台監看Bot的健康、分析使用的情形。Bot整合了許多功能。講師最後也親自帶著同學們建立了一個Bot服務，介紹一些基本的程式碼，也示範了如何在Visual studio 上建立Bot服務。本週的講師介紹的蠻細膩的，我覺得能滿清楚地了解到Bot的運作、建立、運用。  
002	W06	353	92	  本週的企業雲端應用趨勢與實務課程主要在講的是有關於azure bot framework basic的部分，並且透過分成各個細部的主題來和我們講解說明，而azure bot framework basic也就是開發具有智慧的企業級 Bot，來保有對資料的控制。建置任何類型的 Bot - 從 Q&A Bot 到自己品牌的虛擬助理均涵蓋在內。使用全方位的開放原始碼 SDK 與工具，來輕鬆在各個熱門頻道與裝置間將您的 Bot 連線。利用 Azure 認知服務的原生整合，來讓您的 Bot 獲得聽、說和了解您使用者的能力。能夠接觸到這部分的相關資訊，對我們來說真的很特別，也算是學到了很不一樣的東西，希望未來能透過企業雲端應用趨勢與實務課程學到更多各方面的相關資訊。  
003	W06	203	75	  講解任務型機器人的功能 例如客服、查航班資料等等，說明困難之處在於將程式布署於何處該如何連結，另外將它當成一個Web app的好處在於可以捨去Ui，還提到Micorsoft Bot framework是一個平台用來建立連結並發展有潛力的Bot，說明MiddleWare的程式例子，Azure Bot的程式開啟介面及使用方式，藉由這樣的方式讓我們能夠更了解Azure的程式以及如何使用其資源 在第二節課介紹etecHobot對話機器人的處理程序，如說什麼會回應什麼，並讓我們看BotControoler的URL程式，Deploy資料上雲端的教學，覆蓋掉原本的程式如何操作等等，最後仍需要重新Bulid.cmd一次來測試有無錯誤，或是哪些步驟沒有做好  
004	W06	308	86	  這禮拜的講師是Ethan。主題為Azure bot framework.  Bot is a web app that users interact with in a conversational way.幫user解決事情， 步驟越少越好，能幫user輕鬆快速解決。開發前注意事項：部屬在哪，夠不夠用，AI能力。  Microsoft Bot Framework 包含三個部分  Platform : Azure Bot Service  Develop: Bot Builder SDK  AI: Cognitive Services  Azure Bot Service 提供雲端讓使用者開發，使用者可直接利用瀏覽器撰寫，連接，測試，部屬，管理，無需另外下載軟體。  
005	W06	346	90	  **Web App Bot**  通過今天的講解，建立一個Azure Bot Service，這個服務可以應用在Microsoft Teams、Skype、Slack、Line 和 Facebook Messenger。  現在的聊天機器人不僅可以展現自然語言理解，還能夠執行認知服務功能，像是： 語音辨識，電腦視覺，語言識別與翻譯，內容檢測，使用者識別，文本分析。  通過以上的功能就可以應用在我們日常生活當中，協助人類，取代大多數重複性、瑣碎的工作事務。例如，社群互動、心理測驗、問卷調查、推播功能、對造控制流程、真人客服切換、商品查詢、語言轉換等等。web bot不僅能同時和無數客戶對話、省去客服人員忙線時的等待時間，也能作為即時監測資訊的幫手，協助使用者在最短時間內完成託付的任務，為我們解決許多瑣碎問題、並使人們擁有更方便的生活。  
006	W06	358	93	  Chatbot在現在社會其實是非常普及的，不過是企業網站或是學生專題都會有人實際做一個應用整合，而聊天機器人的服務應用也是區分成好多種類，有的像是客服人員有一個制式化的回應，一問一答這種傳統方式，有的比較彈性，可以去區分使用者給與的圖片或者是彈性的問話，  在Azure bot framework可以去創造botbuilder，從.Net framework可以許多架構，讓人隨時即用的一個套件。對於bot service也有提供連結，當機器人開發完成後也可以直接接到skype或者line、facebook等等著名的App。  
007	W06	152	65	  這堂講座讓我蠻有興趣的，因為我們專題也是做類似的機器人，不過講師是實作在azure上，與我們專題不同的是，azure裡頭已經包含許多套件，能讓使用者方便使用，不必全由開發者從頭開始重新寫一份，透過歡迎訊息、離開訊息、echo等信息，就能做出一個可以與使用者簡單應對的機器人，只要語言一樣，我們也可以把很多已經做好的程式丟上去，很方便，不過只做到這些功能可能對於很多開發者或使用者不滿足，我們還能夠用很多不同的版面去增加回覆應對的豐富度，就不只是限制在字上，期待之後能有機會能夠再做更多深入的練習或是應用在更多不同行業上。  
008	W06	347	91	  這週講座的題目是比較常聽到的，Azure Bot Service 是一套專用於開發、運行對話機器人的整合環境，也可以說是一個解決方案，裡面關聯到的功能、服務相當多元，從建置機器人對話服務、連結至各對話頻道、測試對話功能，甚至佈署與管理，都包含在 Azure Bot Service中，可用於輪替簡單、重複性工作，例如預訂晚餐或蒐集設定檔資訊，其實我們平常生活中常常接觸到這門技術，只是不知道他是怎麼應用的，所以今天聽完了這門課，我們就可以從生活中去觀察有什麼是應用這個技術的。  講師還有提到Framework，Bot Framework 提供產生對話框操作介面的 API，用於產生卡片、按鈕、圖片等對話框介面，但因為每個通訊頻道都有自己的介面設計，如果想要查看各個頻道所對應產生的介面時，可以透過Channel Inspector這個線上工具進行預覽，相當方便！  
009	W06	170	69	  這次演講主要在跟我們介紹AI機器人(Chatbot)還有建立一個Chatbot的教學，其實在做專題的期間就對chatbot略有研究，覺得這個技術真的很新奇很厲害，一問一答，就像siri一樣，這不但可以增加使用者的使用率還能提升有趣性，只需要透過chatbot就能得到所有想要的資訊我個人覺得是未來的趨勢，光是現在的siri就已經能幫到很多事了，像是天氣預報、直接google甚至有的還可以稍微閒聊一下，在這科技化的時代，想必以後這方面的技術一定會越來越發達，也會越來越普遍，簡直就像是智慧型秘書一樣。  
010	W06	368	97	  經過演講者的講解之後，了解有關Azure Bot Service的相關知識。Bot 提供的體驗比較不像使用電腦，比較像是與人溝通，或至少是與智慧型機器人溝通。 在不再需要直接人為介入的自動化系統上，Bot 可用於輪替簡單、重複性工作，例如預訂晚餐或蒐集設定檔資訊。 使用者可使用文字、互動式卡片和語音來與 Bot 交談。 Bot 互動可以是快速的問與答，也可以是以智慧方式提供服務存取權的複雜對話。有了這些專業的相關知識後，讓我更能知道如何去運用，雖然可能還有點生疏，但透過演講者的說明之後，會比自己去學習還來更加容易。  
