seatno	assignment	score	grade	comment
001	W11	352	91	  這週的主題是Microservices – Docker & ACI & AKS。講師簡單解釋了Container和Docker的差異，並介紹了Container可以在任何地方運行、Container如何運行、Container的架構。最後也帶著同學建立了需要使用的Azure Virtual Machine來實作。隨著課程，對Azure服務雖然有更近一步的認識，也完全感受到Azure的便利性，可對基礎概念不太了解的話，有時侯還是沒有很懂背後的概念，不夠了解就會有點會造成無法完全發揮它的功能。  
002	W11	345	88	  本週的企業雲端應用趨勢與實務課程要講的是Microservices Docker&ACI&AKS，AKS也就是Azure Kubernetes Service (AKS)，可讓您輕鬆部署及管理容器化應用程式。其提供無伺服器 Kubernetes、整合的持續整合與持續傳遞 (CI/CD) 體驗，以及企業級的安全性與治理。在單一平台集結您的開發與營運團隊，好整以暇地快速建置、提供及調整應用程式。而ACI也就是Azure Container Instances，ACI 提供快速且獨立的計算，可應付突然暴增的流量而不需要管理伺服器。舉例來說，Azure Kubernetes Service (AKS) 可使用 Virtual Kubelet，在 ACI 中佈建可於數秒間啟動的 Pod。這使得 AKS 能以足夠容量為您的平均工作負載執行。當您 AKS 叢集的容量不足時，可相應放大 ACI 中的其他 Pod 而無須管理額外的伺服器。透過今天學習到的內容，相信對未來有相當大的幫助，感謝今天的講師用心地介紹!  
003	W11	165	73	  今天介紹Azure Docker，介紹Container跟Docker些微的不同，Docker的實作是把容器作為一個標準化的介面，介紹何為容器其技術能夠降低風險，Container使用在何處，並說明現在產業都在往Container走，Container與以往機器的差別，沒有虛擬層的好處在於要做更新的時候，能夠直接與底層連接，壞處是若底層如果有漏洞，Container就容易有惡意程式，去盜取他人的資料，實作新增一台機器Windows Server，成功之後讓我們了解有多少個容器在執行，程式碼的說明，並將程式碼使用在剛剛建立的Windows Server，介紹剛剛我們實作的程序步驟，以及其中可能發生錯誤的地方。  
004	W11	222	79	  這禮拜的主講內容是Docker.  Container is a new way to package, version and manage software releases.  So what's a container?    * clear boundaries for your app, allowing you to know which assets belong to which app and who owns it.   * no more leftover cruft from previous installations or versions   * provides resource isolation, without the overhead of more VMs.   * better resource utilization   * repeatable builds.  什麼是容器？    * 對軟件來說有一個更透明的界線，讓大家可以更明白那些資產屬於那些app和屬於誰的。   * 不會有上個安裝或版本留下來的cruft   * 提供資源的隔離，不再有更多VM的限制   * 更多的資源應用   * 重複建置  why containers    * works on my machine   * every environment looks the same   * increased velocity   * run anywhere  containers run everywhere    * linux   * windows   * cloud   * drones, rasberry pi, iot  how do containers work?    * containers are basically highly configured processes   * they leverage kernel features to isolate processes   * groups control the resource it can consume   * namespaces contrail what the process can see   * the image format is used to move the root directory the process sees around the container image  
005	W11	240	81	  Azure Container  講師介紹了Master Node & Worker Node  了解Master Node: 主控。負責Kubernetes Clusters和Worker的工作排程、溝通以及監控其狀態。  Worker Node :Runtime Environment。負責實際Container的執行。  容器註冊服(ACR): 儲存及管理所部署之各類型容器之私人登錄中的映像及成品。 將Azure容器登錄與您現有的容器開發與部署管線搭配使用。使用 Azure Container Registry工作依需求在Azure中建置容器映像，或透過來源程式碼更新、容器基礎映像更新或計時器，觸發自動建置。  容器部署服務(ACI): 具有快速啟動的優點, 並且提供公用 IP 以及完整網域名稱 (FQDN), 可以直接由網際網路存取應用程式. 此外 ACI 具有應用程式相依性隔離和資源控管, 等同於虛擬機器的安全性管理.  
006	W11	250	82	  如何去製作containers work  基本上containter擁有基本的高適別製作  他們的特色就是去獨立運作  **Azure App Service** 為一種平台服務 (Platform-as-a-service, Paas)，提供快速且簡單操作的雲端環境，讓您可以佈署您的網站或行動應用程式  Azure App Service 可讓您以所選程式設計語言來建置及裝載 Web 應用程式、行動裝置後端以及 RESTful API，無需管理基礎結構。 它提供自動調整及高度可用性，支援 Windows 和 Linux，並可從 GitHub、Azure DevOps 或任何 Git 存放庫啟用自動部署  價格不貴又不需要維護主機讓我印象深刻，  開發者可以透過 Web App For Containers 使用自己的 containers  
007	W11	346	89	  Docker是一個 Linux Container 的輕量化的虛擬技術， 在 Azure 上也提供簡便的方式建立 Docker Host，而且 Docker 是一個 open-source 的專案，主要的特點是能將應用程式包裝在一個 Linux Container 中，當這些應用被包裝進容器後，部署、遷移都會變得更為簡單。與傳統的虛擬化技術相比，虛擬機器需要安裝作業系統才能執行應用程式，而 Container 則不需要安裝作業系統就能執行應用程式。Container 技術是一種在 OS 內的 Kernel 層所打造虛擬執行環境，所以 Container 彼此之間共用了 Host OS Kernel，但透過namespace的區分來達到隔離每個容器的目的。  
008	W11	133	66	  這次課堂上講了三個東西，其中讓我最有印象的是Docker，因為是最近相當熱門的一個名詞，是一個基於Linux Container 的輕量化的虛擬技術，而微軟也相當積極與Docker合作，在Azure上支援這個正夯的技術，並且提供簡便的方式來建立Docker Host，主要的特點是能將應用程式包裝在一個Linux Container容器中，當這些應用被包裝進容器後，部署、遷移都變得更為簡單。與傳統的虛擬化技術相比，虛擬機器需要安裝作業系統才能執行應用程式，而Container則不需要安裝作業系統就能執行應用程式，變得更方便了！  
009	W11	152	70	  這節課也是在講有關於Azure容器的操作與實作以及概念，其實在上這麼多堂課下來，不僅對於Azure的操作逐漸有感覺，而且同時也逐漸了解到對於這個領域到底是否感興趣，有一堂課的老師說到來教課的都是很有名很貴的講師，雖然聽起來好像我很浪費資源，但對於這塊領域始終沒有產生任何一絲的感覺或興趣，只覺得很神奇、很複雜，在上課的同時也能同時探索自己對於這個科目、領域是否有興趣是一件讓我覺得很感恩、很慶幸的事，謝謝每一位講師用心準備的課程。  
010	W11	275	83	  透過講師的講解了解了Docker 是一個 open-source 的專案，主要的特點是能將應用程式包裝在一個 LXC (Linux Container) 容器中，當這些應用被包裝進容器後，部署、遷移都變得更為簡單。與傳統的虛擬化技術相比，虛擬機器需要安裝作業系統才能執行應用程式，而 Container 則不需要安裝作業系統就能執行應用程式。Container 技術是一種在 OS 內的 Kernel 層所打造虛擬執行環境，所以 Container 彼此之間共用了 Host OS 的 Kernel，但透過 namespace 區分來達到隔離每個容器的目的。看著講師一步步操作且解說那些複雜的程式碼，比自己去研究來的容易理解許多。  
