seatno	assignment	score	grade	comment
001	W04	173	66	  本週的講師介紹了Azure提供的雲端服務，雲端服務主要又分為Iaas(基礎建設即服務)·Paas（平台即服務）·Saas（軟體即服務），不僅提供資安的服務·還有Media的服務甚至還有機器學習的警覺方案．更介紹App Service，能快速的部署自己的應用程式·網站，可以隨著需要使用的流量自動擴展，幫助企業節省一些不必要的成本．我認為Azure提供了許多很方便的服務，介面的操作也越來越人性化，可這幾週的講師感覺是在介紹產品而已沒有介紹太多技術層面的東西，不太像是在教學．  
002	W04	253	99	  今天的企業雲端應用趨勢與實務課程的微軟講師說她才工作一年而已，年紀與我們相近，他告訴我們要進入微軟其實沒有想像的那麼難，勇於面對挑戰、認真向上，相信大家都會有機會可以進入到微軟工作的。今天講師也是在說明學生版本的AZURE，並且運用上禮拜所申請的帳號做登入。今天講師也詳細的說明了如何利用AZURE學生版來架設一個網站，這個部份是我非常有興趣的，利用微軟的技術來架設網站這個部分更是讓我感到非常好奇，希望透過今天的企業雲端應用趨勢與實務課程，我能夠學到更多有關於網頁、網站設計的相關資訊。    
003	W04	162	63	  這禮拜介紹了雲端運算的功能，服務大致能分為三個Iaas、Paas、Saas，分別為基礎建設、平台、軟體服務，列出網路上各個層所需負責的功能在微軟與顧客中所佔的比例，初步介紹Azure app Service，介紹了這個服務的結構，可以適用在哪些系統，對於部屬的述說，有哪些OS能夠使用，讓我們了解了在Windows跟Linux還有Container的不同，他們可能會造成哪些不同的情況，應對流量暴增的情況，利用Scale up的技術來解決的流程，在第一堂課最後介紹有關這個app服務的相關服務，在第二節課教我們申請Azure帳號，並初步認識這個app  
004	W04	192	74	  Azure App Services   主講人開始前先分享了他大學時候做專題面對的事情。主講人主要介紹平台上提供什麼樣的服務以及其他功能。其中介紹開發什麼樣的服務會需要使用什麼樣的功能。  
005	W04	196	76	   **Azure App Service **  今天很高興上了一課可以了解Microsoft Azure部分服務與服務內容的知識，還有講師慢慢一步一步解釋在建立Web App時要注意的細節。使我學懂了如何建立一個建立Web App。 今天的介紹對於我日後開發網站很有幫助，這個平台服務是跨平台，不論是使用 ASP.NET、PHP、Python、Node.js 還是 Java 撰寫的網站都可以直接放在這個平台上運行，為了簡化和標準化安全性設定，而且使用管理完善的平台控管運維和監視工作。支援多種部署網站的方式，一但把網站程式寫好了部署上去立刻就開始服務了，對於網站開發人員來說相當方便迅速。最後，使用 App Service Environment 在 Azure 虛擬網路中安全而大規模地執行您的應用程式，同時擁有增強的隱私、功能與效能。  
006	W04	217	86	  簡單架設一個網站，並且不需要定期去更新，利用app service讓使用者快速部屬網站，app service也支援各個程式語言，也有支援當網站有數國人數千人的流量，有自動化擴展的機器，當我們流量達到多少，會自己去擴展底下的機器，對於成本而言，在使用量不同的時候可以快速支持，有了run time之後只需要管自己的程式碼跟網站是否有做好，想要有自己的url，也可以在app service上客製化customer domain，只要跟他人沒有衝突到，而且方便的是如果有使用vs 能夠直接裡面的套件將code推送上去。  
007	W04	246	98	  由漸進式的方式帶入主題，從學生時期面對的小問題，像是購買電腦的費用、電腦效用不足時，我們該如何解決或是我們可以直接利用雲端，將我們的東西都丟上雲端，就可以省去昂貴的部署費用和設備成本，剩下的，我們就只要將我們的程式碼寫好，git上去就好，不過這也並不是完全免費，有些服務都需要每個月花費固定的費用讓這項服務持續運作。  希望透過每次課程上的實作，能夠讓我更加了解深入azure平台的各項服務，藉此能夠在之後能有更多的方向選擇，不會在收到硬體軟體上的限制，有更大的彈性發展，尤其對於大公司企業。  
008	W04	215	85	  今天這位講師也是資管的，能進微軟公司真的很厲害，要怎麼在這麼多人的履歷中脫穎而出呢？當講師介紹了我才知道原來還有網路履歷這種東西！在課堂中提到目前的部落格已經搬到微軟的雲端主機，而且效能很好，還可以自行調整所需要的硬體設備，聽起來好像很不錯，而雲端整個操控與虛擬主機cpanel有蠻大差異性，同時在設定上也很不一樣。  不論是開發人員、學生或是非技術背景的人，需要架設網站來行銷公司產品或是創建網路履歷，都可以試用 Azure 的架站服務，能在最快速的時間架設完成，講師在課堂中有給我們一些時間去申請學生的帳號，回家後一定要再來好好研究！  
009	W04	231	91	  這次的演講主要是在講Azure的使用方式還有如何架設一個網站，也逐漸意識到Azure真的是一個很好用的網站，裡面真的很多很方便的服務，但也很多很複雜的系統，真心覺得能講解Azure的人真的很厲害，不只是理解的深度而且連如何操作都能記的一清二楚。  在講課的過程中，講師有提到他從大學就是一個很樂於學習的人，在面臨困境的時候，也是透過不斷的挑戰自己去為自己的人生鋪路，讓自己有很多專長，一個人可以有很多專長都是這樣來的，不斷的去學習新東西，遇到困難也只能繼續學習、研究，講師還強調態度的重要性，微軟看的最主要不是技術，而是態度，雖然這句話已經聽過很多次了，但這麼多老師既然都強調這一點代表這真的是一件很重要的事。  
010	W04	241	97	  上禮拜聽了一位非常年輕的演講者講完之後，從他口中了解到自己的興趣與工作的結合是非常重要的，希望能像講者一樣，能在畢業前就確定好自己的方向，並將自己的興趣與專長融合，結合在職場上，且在職場上學習到更多有關自己工作方面的相關知識。  透過講者的解說，明白Azure Web Services的相關知識，也知道如何去操作該系統，也知道這個系統有學生版的可以去辦，這個很方便而且不用任何花費，感謝講者讓我知道有這個東西可以去辦理。  
