seatno	assignment	score	grade	comment
001	W08	173	70	  本週的講師介紹了Azure QnA Maker，將自己的使用手冊、知識庫丟到平台上，就可以建立Q&A功能。最後一樣帶著同學們一起實作。並介紹了以往的規則式聊天機器人以及自然語意了解的差別。透過計算語料間詞彙的語意距離，儘管問句可能並不是在機器本身的語料庫中，但仍可以到相似問句的回答。   自然語意理解的架構中包含兩項-意圖(intent)以及實體(entity)。   透過拆解意圖和標記實體，可以識別原本不在語料庫內的問題，也大大增強了聊天機器人的靈活性和擴容性。  
002	W08	153	63	  今天的企業雲端應用趨勢與實務課程主要講的是Integrating Azure Bot Framework with Azure Cognitive Services，Azure Cognitive Services 也就是Aure的認知服務，主要是用來協助開發人員建置智慧型應用程式，且無須使用直接 AI 或資料科學技術或知識的 API、SDK 和服務。 Azure 認知服務可讓開發人員輕鬆地將認知功能新增到其應用程式中。 Azure 認知服務的目標是協助開發人員建立可以看、聽、說、理解甚至推論的應用程式。 Azure 認知服務中的服務目錄可以分成五個主要支柱：視覺、語音、語言、Web 搜尋和決策。透過金梯的Bot Framework以及Azurezure的認知服務，讓我學到了很多，或許將來都可以應用在開發上面，希望透過今天的課程能夠更精進這方面的資訊及技能。  
003	W08	175	70	  接續上禮拜的課程，這禮拜講解QnA maker的程式以及它內部的設定，介紹其中一個功能能從文章中萃取問題並來解決，最新釋出的功能有三種Extraction、Intelligence、Conversation，官方並會探討較多使用者詢問的問題並記錄下來，以完成每次更新，QnA Maker的三大重點，會列出問題與答案讓使用者了解，當然使用者也能自己新增答案，算是一種擴展的方法，實作QnA Maker，並建立一個Deployment，其中有提到了機器人的對話為現在主流其中之一，利用與機器人對話來獲得自己所需的答案，它背後的演算法算是簡單，持平演算法，再問出的每個問題中，搜尋相對答案最高的分數。  
004	W08	133	60	  今天的重點是QnA maker，意思是做question and answer的配對，主動地去回答使用者問題。QnA maker再也不需要透過第三方幫助，可直接把設定都設好，資料都丟上去即可完成。  QnA maker is to help user easily build a conversational layer over their existing data. QnA maker's characteristic are extract Q&A pairs, manage,test and train in an easy-to-use UI, add personality, No-code simple bot creation and also easy to scale.  
005	W08	241	87	  今天介紹如何建立 QnA Maker服務與實作  QnA Maker 是一項雲端式自然語言處理服務，可對您的資料輕鬆地建立自然對話層。 其可從資訊的自訂知識庫為指定的自然語言輸入尋找最適當的答案。  介紹可以透過 LUIS 解析使用者的問題，解析出「Intent及「entities」  LUIS 應用程式包含領域特定自然語言模型。 您可以從預先建立的領域模型開始使用 LUIS 應用程式、自行建置模型，或以自己的自訂資訊融合預先建立的領域片段。  LUIS 模型的組件是使用者意向的類別，「意圖」每個意圖都需要使用者語句的範例。 每個語句都提供各種不同需要以「實體」擷取的資料。  
006	W08	231	82	  利用powerbi 是非常有名的方法在專業資料之中，一開始有Extration、intelligence，也支援許多語言包含繁體中文，也可以利用pdf file或是word檔案都可以直接拿來生成datasource，自動生成問題跟答案的配對，也可以自己去加取，在蔗糖課程中會學習到在微軟中利用power BI一系列的課程  在EDX中也提供有預算的協助給學習者想要得到認證的人，開始學習去如何連接跟匯入你的資料，跟公開報告給POWER BI伺服，學習去創造跟分享在許多網頁跟行動裝置上面，也沒有每個月的次數限制，是非常方便的一個QNA  
007	W08	241	87	  每次講座有說到有關機器人智慧對答的方面，都會吸引到我的注意，因為之前都是嘗試樣板式比較死沒有彈性的對答方式，但透過QnA maker 不然能自動爬取三層資料，而且只要匯入檔案或網址進去就可以使用，這麼如此方便的製作聊天機器人平台，人人都可以是chatbot developer ，再結合上次說到裡頭也包含非常多套件能夠供開發者使用，其自由度也就提升非常多，讓聊天機器人更加智慧、有趣且方便。  
008	W08	213	78	  今天的演講主題也是第一次聽到的：QnA Maker，是一項雲端式自然語言處理服務，可對資料輕鬆的建立自然對話層，QnA Maker 的用戶端應用程式是任何可透過自然語言與使用者溝通以回答問題的對話應用程式，舉例來說像是包括社群媒體應用程式、聊天機器人，以及具備語音功能的桌面應用程式。  課堂還有提到，規則式的聊天機器人是採用if- else的準則來判斷一句話的回應，所以我們提到的東西都需要在資料庫中，但是東西很多，沒有辦法把所有可能的問題都列出來，因此還是目前規則式聊天機器人遇到的問題，但如果是自然語意理解，就可以透過架構中的intent和entity，就算在資料庫找不到的東西，也可以透過其他方式去找到相似的答案！我想這應該是比較好的！  
009	W08	128	60	  今天講的是有關於聊天機器人的部分，對於可以在網路上與機器人聊天這件事覺得真的是一件很神奇的事，在還不知道其背後的技術之前一直以為這是一件很難做到的事，但自從開始瞭解到相關技術之後才漸漸發現原來製作聊天機器人其實沒有想像中的這麼複雜，只要透過分析使用者輸入的文字然後去找出對應相關的回應，但如果要做到可以閒聊的話會是一件很難很複雜的事，因為現在語言、語法、說話習慣這麼多，要一一去做比對和分析是一件很不容易的事。  
010	W08	221	79	  聽完這禮拜演講者所演講的QnA Maker，讓我了解了QnA Maker是一項雲端式自然語言處理 (NLP) 服務，可對我的資料輕鬆地建立自然對話層。 其可從資訊的自訂知識庫 (KB) 為指定的自然語言輸入尋找最適當的答案。QnA Maker 的用戶端應用程式是任何可透過自然語言與使用者溝通以回答問題的對話應用程式。 用戶端應用程式的例子包括社群媒體應用程式、聊天機器人，以及具備語音功能的桌面應用程式。其中有一頁PPT是說，規則式的聊天機器人，是採用IF- ELSE的準則來判斷一句話的回應，也就代表著我們提的問題一定要在語料庫中，我們終究無法舉出所有的問題，因次規則式的聊天機器人的後續擴容維護是很麻煩的問題。這讓我感同身受，因為我們在專題的程式開發中，曾經也想做過這種聊天機器人，但後來也是因為這個原因，而打消念頭。  
011	W08	234	83	  這次的上課內容，是有關Azure 的QnA Maker和LUIS，並且介紹該怎麼使用以及Azure 能帶來什麼好處。經過這次上課雖然還不是很了解QnA Maker確切的用法。但是，回朔到幾個禮拜前，那時我還不清楚Azure的功用，對Azure仍然一無所知，現在至少慢慢知道Azure在幹嘛了，以及透過課堂學習慢慢了解到裡面的功能，雖然不能說對每一個功能都聊若指掌，但至少有個概念了。  而且今天的講師非常的用心教導大家，上課時也分享很多出社會後的心路歷程，我覺得這些對我的幫助很大，講師也很關心的問大家有沒有問題，覺得今天的內容滿豐富的。  
012	W08	156	64	  在這堂課企業雲端應用趨勢與實務中，今天10月29日一樣邀請到微軟的黃耀逸講師進行演講，黃老師之前也有來講過課，而今天延續上次的Azure的介紹，今天教我們用LUIS ，LUIS是一種API雲端式服務，可將自訂機器學習智慧套用至使用者的對話、自然語言文字中，預測整體意義，找出相關的詳細資訊。講師也說到BMW 3系列的轎車的車載系統也是使用LUIS，代表LUIS不只在教學，更在業界上廣為使用，講師利用現在市面上實際的案子舉例給我們聽，讓我對這個技術更有興趣，今天的教學也讓我很有收穫。  
013	W08	294	99	  老師台風穩健，平順且有條理地為我們更深入的介紹Azure Bot的其他功能。  像是QnA maker是支援有問有答的模式，介紹完之後講師馬上帶著我們進入實作，讓我們更加知道未來若要使用的話該如何設置基本的資料，裡面的問答可以由機器人自己從知識庫去搜尋，是相當智能的bot，在設置bot時有很多欄位要先決定，這在未來會決定你的花費，但是azure都有提供最基本的免費版本，但是要注意的是免費版本一個帳號只提供建置一次。  設置成功之後，講師開始帶著我們了解裡面API的使用方式，將azure裡的bot跟Qnamaker串聯起來，接著就可以對bot進行更多的功能建置，像是建造供bot爬蟲的知識庫等等。  
014	W08	210	77	今天一樣是由上次已經來上過課的李御安講師來為我們上課，今天講師上課的主題是Azure Web APP – QnA Maker。QnA Maker 是一項雲端式 API 服務，可讓我們針對現有資料建立交談式的問答層。我們可以從半結構化內容 (包括常見問題集、手冊和文件) 擷取問答，以使用它來建立知識庫，他的功能有使用閒聊功能來為機器人賦予特質，可以預先填入的閒聊資料集，幫機器人選擇專業、機智、友善、關懷或熱情的角色，讓機器人更擅於交談。QnA Maker可用 50 種以上的語言交談，好方便呀。  
