seatno	assignment	score	grade	comment
002	W16	127	63	  本週的企業雲端應用趨勢與實務課程主要講的是Azure Blockchain Workbench，Azure Blockchain Workbench 預覽是 Azure 服務和功能的集合，目的是要協助您建立及部署區塊鏈應用程式，以與其他組織共用商務程序和資料。 Azure Blockchain Workbench 能為建置區塊鏈應用程式提供基礎結構 Scaffolding，讓開發人員可以專注於建立商務邏輯和智慧型合約上。 它也可以透過整合數個 Azure 服務和功能來協助自動化一般開發工作，讓使用者能更輕鬆地建立區塊鏈應用程式。這幾年來比特幣非常的紅，而比特幣與blockchain是密不可分的，區塊練這個議題在未來想必我們也會接觸到，最後感謝今天的講師用心地介紹。  
003	W16	275	81	  今天的講座主要是講說區塊鏈，由比特幣所延伸出來的，背後用的區塊鏈的概念，以及其發展過程，如何運作，藉由中本聰提出的概念，探討現在比特幣的發展以及現值，Peer- to-peer、中心化以及點對點的應用交易，透過Hash Function能夠解譯成唯一的值，而其又是不可逆的，所以無法藉由Digest來解譯出左邊的數值，加密分成兩種，一種是對稱式加密，用一把金鑰將其變成亂碼，並只能使用其鑰匙解密(解密使用Private key和認證使用Public key)，與剛剛的Hash有些許不同，說明礦工在做的挖礦是利用何種技術，礦池以及礦機的解說，區塊鏈的案例，實作區塊鏈。  
005	W16	290	90	   **區塊鏈**  了解到對稱式加密，非對稱式加密，數位簽章的知識。區塊鏈技術，作為比特幣的基礎技術，現在已經被使用在許多行業中用於交易和非交易目的。銀行，金融服務和金融技術機構引領了在日常運營中採用區塊鏈的競爭。然而，其他行業也在加快腳步將區塊鏈納入其業務流程，主要是為了簡化其財務交易和信息管理。隨著技術的進一步研究和開發，區塊鏈的未來使用可能會重新定義我們做事的方式。  目前區塊鏈技術在產業界的代表產品多與加密貨幣相關，但其技術特性與發展潛力也吸引公部門投入與推動許多試驗性計畫。主要是因區塊鏈具有顛覆資產管理、供應鏈安全與交易模式的潛力，亦能協助政府追蹤資訊來源、確保資料準確性，以及長期紀錄資料變更的情況，部分政府單位已根據需求目的推動相關試驗性計畫。  
006	W16	272	79	  PC硬體上運行的程式在技術上並不一定比其所取代的大型程式要好，但它有兩項無法超越的優點：它為終端用戶提供了更大的自由，而且價格更低廉。微軟的成功也是個人電腦發展的序幕。  微軟開發過多種軟體產品，包括了操作系統、辦公軟體、程式設計語言的編譯器以及解譯器、互聯網客戶程式，例如網頁瀏覽器和電郵客戶端等。  這些產品中有些十分成功，有些則不太成功。從中人們發現了一個規律：雖然微軟的產品的早期版本往往漏洞百出，功能匱乏，並且要比其競爭對手的產品差，之後的版本卻會快速進步，並且廣受歡迎。今天，微軟公司的很多產品在其不同的領域主宰市場。  微軟花了大量的精力在市場營銷以及產品開發中的可重用工程，並且試圖將其產品進一步組合，以提供用戶一貫的開發環境。  微軟的Windows產品有效地壟斷了桌面電腦操作系統市場。那些持上述看法的人指出，幾乎所有市場上出售的個人電腦都預裝有微軟的Windows操作系統。  一些觀察家聲稱，微軟作為一個壟斷企業令其競爭對手處境窘困：  一方面，競爭對手不願意承認微軟的壟斷地位。因為在一個被壟斷的市場，只有一家產品或服務的提供商。因此對競爭對手而言，將微軟稱為壟斷者會將自己置於一個失敗者的境地：這樣作等於是否定了自己的存在，或否定了自己能夠生存、競爭的能力。  另一方面，競爭對手又希望將微軟比作壟斷企業，因為這樣做會給自己帶來好處。首先，這有可能導致市場管理者（政府）的介入。其次，被看作是“落水狗”的微軟競爭對手有可能在公共關係上取勝，以刺激銷售。  
010	W16	231	74	  經過講師的講解我了解到Azure Blockchain Service可以快速建立與設定聯盟區塊鏈基礎結構，而且無需管理網路，同時依然能夠隨時更新。還有聽到講師提到網紅與品牌合作導購時，總是無法得到最即時、透明的成效資訊，感覺沒有保障。所以講師提供一個資訊。也就是 SOOCKER，運用區塊鏈技術，能讓網紅隨時查看真實的導購成效，以及即時的分潤金額。這對現今許多網紅們可以有多一分保障且便利，畢竟現在是個網路發達的時代，人人都是網紅，都是一個頻道。假設將來有機會走入這類型的工作，這會是一個很方便的管道，感謝講師帶來的分享。  
012	W16	299	92	  在這堂課企業雲端應用趨勢與實務中，今天12月24日魏主任邀請到微軟的李傑偉講師進行演講，是關於區塊鏈的部分，區塊鏈是近年來非常受到關注的議題，也是許多科技業者正在做研發還有運用的部分，雖然區塊鏈在我們資訊人員之中事大家都知道的技術，但真正能更落實在科技面上卻有非常高的門檻，因此在這堂課可以學習到區塊鏈真正的技術，李講師解釋了非常多實用的部分，利用網路基礎結構簡化對開發的測試，也能透過雲端的服務做整合和延伸，讓其價值有更大化，速度也更提升，再開放、受信任並於全球推出更多的創新，區塊鏈連結到商務，讓工作也能做整合，許多聰明的功能都是讓客戶擁有更好的享受。  
015	W16	321	98	  今天是最後一次講師來上講座課了，下星期要進行小組報告，時間過得好快就這樣，每周聽課、上課、操作，不知不覺就快要學期末了，覺得這門課真的讓我學了很多，除了微軟相關的課程知識及操作之外，也知道很多現今資訊科技發展、趨勢及，而今天講師教的是區塊鏈，之前對區塊鏈就有一些初步的了解，但這次上課對區塊臉有更深入的了解。相信在區塊鏈中，大家最不陌生的就是比特幣了吧!講師也說了一些比特幣的相關資訊，如果人們有一本公共帳簿，記錄了所有的帳戶至今為止的所有交易，那麼對於任何一個帳戶，人們都可以計算出它目前擁有的金額數量。而區塊鏈恰恰是用於實現這個目的的公共帳簿，其儲存了全部交易記錄。在比特幣體系中，比特幣位址相當於帳戶，比特幣數量相當於金額。經過講師的教學，讓我對比特幣有更深入得了解，也更知道背後的計算及方法。很開心能選到這門課，讓我受益良多，希望能對未來有所幫助，也希望自己能學以致用。  
016	W16	129	66	   **使用Azure Blockchain Workbench** **可以有以下功能：利用預先建置的網路與基礎結構，可簡化開發且可輕鬆地進行測試。、透過對雲端服務的整合與延伸及取用應用程式，加快創造價值的速度、在開放、受信任並於全球推出的平台上大膽地創新。**  **Azure Blockchain Workbench ****使用 Azure Active Directory (Azure AD)** **來進行身份驗證，每次client** **端要與區塊鏈進行互動時都會經過 Azure AD** **，來管理使用者。Azure Blockchain Workbench ****會自動生成包含web** **、mobile(iOS, Android)** **。**  **使用Service Bus** **來達到 message broker** **的功能，讓所有訊息統一在此處進行轉發，之後會有兩個consumer** **，來接收訊息。**  **但是今天沒有講到詳細的操作運用，基本上還是在講關於區塊鏈、比特幣、加解密機制，沒有到很深的操作。**  
017	W16	148	69	  使用區塊鏈數據管理器構建端到端解決方案。只需單擊幾下即可獲得靈活，可靠和可擴展的數據流以及應用程序集成。監控您的智能合約，對交易和事件做出反應，並將鏈上數據流傳輸到鏈外數據存儲。  首先，對區塊鏈需要的第一個理解是，它是一種「將資料寫錄的技術」。如同前述，區塊鏈起源於中本聰 ( Satoshi Nakamoto )的比特幣，因此區塊鏈就是作為比特幣的底層技術，是一個「去中心化的分散式資料庫」，透過集體維護讓區塊鏈裡面的資料更可靠，或是可以把它理解成是一個全民皆可參與的電子記帳本，一筆一筆的交易資料都可以被記錄。  區塊鏈技術可以說是互聯網時代以來，最具顛覆性的創新技術，依靠複雜的密碼學來加密資料，再透過巧妙的數學分散式演算法，讓互聯網最讓人擔憂的安全信任問題，可以在不需要第三方介入的前提下讓使用者達成共識，以非常低的成本解決了網路上信任與資料價值的難題。  
018	W16	245	76	  今天的課程內容是Azure BlockChain Workbench，區塊鍊對於我來說是個很複雜的東西，但大學時期上了不少課，多多少少都有說過一點區塊鍊，所以大致上還是有一些基礎了解。今日課程的講師非常細心的在講解各種區塊鍊的專有名詞，什麼是礦工，區塊練如何運作等等。區塊鍊算是現代科技發展的重心，這學期上的一門科技課程的期中報告中，研究了Line公司的營運，近期LINE其實致力於發展區塊鍊，打造新的金融服務，期望打造新貨幣，從我們生活中常使用LINE的發展就有區塊鍊，可見此項技術對於現代科技來說多麼重要。  
