seatno	assignment	score	grade	comment
001	W15	200	78	  這周講師的主題是Azure Power BI，一開始簡單介紹了Power BI的用途以及Power BI所帶來的效益，Power BI主要拿來處理資料，資料圖像化。接著帶著同學一步一步的實作，透過範例的實作讓同學能夠更深入地了解Power BI的功能、效果，Power BI僅需要透過一些簡單的操作便能將繁瑣的資料視覺化，使閱讀者能夠清楚的了解資料所傳達出來的訊息，能夠較輕易地去分析資料。我認為Power BI真的是很強大的工具，帶來了很大的便利性。  
002	W15	236	85	  本週的企業雲端應用趨勢與實務課程主要講的內容是Data Visualization using Power BI，微軟的Power BI是一種商業分析解決方案，可讓您視覺化資料並跨組織共用見解，或將它們內嵌在應用程式或網站中。連線至數百個資料來源，並以即時儀表板和報表呈現資料。只需幾分鐘，即可使用 Power BI Desktop 從資料取得見解，並透過內部部署方式以及在雲端中連線至數百個資料來源，使用 Power Query，簡化資料內嵌、轉換、整合和強化，也可以使用內建視覺效果來建立報表，或建立您自己的自訂視覺效果，這項應用其實非常實用，在未來或許都用得上，最後感謝講師用心地介紹!  
003	W15	288	95	  今天的講說主要是介紹Azure Power BI，並進行實作，如何將資料視覺化作的完美，吸引到更多注意，介紹Power BI的趨勢，由Data進行Power BI之後做的改變，說明其重要性，將這些素材處理的面面俱到，利用這個可以更容易分析數據，並影響之後的決策，藉由例子讓我們對Power BI有更深入的了解，BI以及AI的結合是未來很重要的一環，載入資料，Power BI Model的一些技術，實作。  
004	W15	200	78	  這禮拜的主題是Azure Power BI.  資料視覺化。  透過資料視覺化進行資料分析再加強講故事的能力。  第一步先進行資料處理，再進行視覺化。  Power BI includes    * Power BI Desktop - create reports   * Power BI Service - publish reports to the cloud   * Share with others - enable viewing and collaboration  在Power BI Desktop包含:    * get data - easily connect, clean and mashup data   * analyze - build powerful models and flexible measures   * visualize - create stunning interactive reports   * publish - share insights with others   * collaborate - empower your organization with self-service analytics  
005	W15	264	90	   **Power BI**  學會把資料用於分析，可以看到原始的資料並沒有做過任何的加工處理，像是加總 Sum 或是樞紐分析等，僅將資料範圍做【格式化表格】，這樣的呈現格式是最適合 Power BI 做資料分析的方式，未來只要定期將新的資料更新到格式化的表格中，Power BI 就可以即時呈現最新的資料了。利用Power BI 地圖製作這些視覺效果建立不同類型的圖表，常用的圖表包括卡片(顯示資料加總)、樹狀圖(當產品數量較多，用圓餅圖看不出之間的差異時，可以使用)、橫條圖(比較量的大小)等。只要套用資料就可以迅速建立量值，最後只要將這些量值轉換成合適的視覺圖表，就可以製作出厲害的商業分析報表了。  ****  
006	W15	194	76	   **Power BI Desktop** 是可以安裝在本機電腦上的免費應用程式。此應用程式可讓您連線與轉換資料，以及將資料視覺化。 **Power BI Desktop** is a free application you can install on your local computer that lets you connect to, transform, and visualize your data. 您可以使用 **Power BI Desktop** 連線到多個不同的資料來源，並將它們結合成 (通常稱為模型化) 資料模型，以建置視覺效果，以及能以報表方式與組織內其他人員共用的視覺效果集合。With **Power BI Desktop** , you can connect to multiple different sources of data, and combine them (often called modeling) into a data model that lets you build visuals, and collections of visuals you can share as reports, with other people inside your organization. 大部分商業智慧專案的使用者都使用 **Power BI Desktop** 來建立報表，然後使用 **Power BI 服務** 來與其他人員共用其報表。從事這類工作的人員通常稱為「資料分析師」 (有時直接稱為「分析師」 ) 或商業智慧專業人員 (通常稱為「報表建立者」 )。People most often responsible for such tasks are often considered _data analysts_ (sometimes just referred to as _analysts_ ) or Business Intelligence professionals (often referred to as _report creators_ ). 不過，許多自認並非是分析師或報表建立者的人員也會使用 **Power BI Desktop** 來建立具傑出的報表，或從各種來源提取資料並建置可以和同事及組織分享的資料模型。  
007	W15	130	63	  結束這次的講座後，讓我更了解Power BI的活用性，尤其是在做簡報、報表等等，如此呈現的方式更令人印象深刻，而且能以小動畫說故事的方式呈現，比起文字，圖像動畫方式更容易讓人搞懂圖表的內涵，不僅如此，還能運用R語言、Python程式語言所做出的圖表串接在Power BI上，使得報表內容更加活用彈性，如果能學到一點，對於未來的呈現方式，能有更多樣的選擇。  
009	W15	265	91	  這堂課在教有關於Power BI的實作與介紹，在之前我有上過EXCEL的課程，那時候老師就有教我們在EXCEL用類似Power BI的方式建立圖示等，個人認為Power BI是一個很方便的工具，對於公司與企業來說，可以很輕鬆地透過一張圖甚至是動態圖去了解目前公司相關的營運狀況等，但在背後操作與整理資料的過程是非常重要的，一個地方錯誤會影響到整張圖的呈現，只要XY軸有參數拉錯或設錯，就會導致跟原本的結果相差甚遠。  
010	W15	276	93	  經過講師的講解之後，我了解了Power BI 具有各種可用的 Azure 連接，而且可以使用這些服務建立如同企業一般的獨特商業智慧方案。可以最少只連接一個 Azure 資料來源，或連接幾項，然後塑造並精簡資料，用以建立自訂的報表。使用Power BI Embedded 作為 Azure 中的資源，就能輕鬆內嵌互動式報表與儀表板，讓使用者在各裝置之間享有一致且極為逼真的體驗。 聽完講師的解說後，我還在網路上了解到Power BI 是一套商務分析工具，連接數以百計的資料來源、簡化資料準備，並推動特定分析。感謝講師提供的解說。  
011	W15	107	60	  這次的上課內容比較偏向程式碼的部分，並且介紹該怎麼使用以及Azure 能帶來什麼好處。經過這次上課雖然還不是很了解今天內容的確切的用法。但是，回朔到幾個禮拜前，那時我還不清楚Azure的功用，對Azure仍然一無所知，現在至少慢慢知道Azure在幹嘛了，以及透過課堂學習慢慢了解到裡面的功能，雖然不能說對每一個功能都聊若指掌，但至少有個概念了。  而且今天的講師非常的用心教導大家，上課時也分享很多出社會後的心路歷程，我覺得這些對我的幫助很大，講師也很關心的問大家有沒有問題，覺得今天的內容滿豐富的。  
