seatno	assignment	score	grade	comment
001	W12	157	67	  這週的講師講的主題是Azure Notebook & Machine Learnining，講師一開始講解了線性回歸分析，以及帶著同學開啟一個新的VM讓同學跟著一起實作，還跟同學分享了一些報告的方法。機器學習這個名詞已經成為家喻戶曉的名詞，但許多人都不太了解機器學習背後的原理及理解。在修習其他堂課的時候，也時常聽到這個名詞，也深深感受到「機器學習」的重要性，但這也是我第一次認真的去了解機器學習的運作，雖然講師演講的步調真的講很快，演講也帶著一堆術語，還是個學藝不精的學生的我實在是沒有聽得很懂，但也至少有了一點點概念!  
002	W12	259	99	  本週的企業雲端應用趨勢與實務課程要講的是Azure Machine Learning Services + Azure Notebook using Python，首先，Azure Machine Learning Services 提供開發人員和資料科學家各式各樣的生產經驗，讓建置、訓練及部署機器學習模型更加快速。採用領先業界的 MLOps (機器學習 DevOps) 加快產品上市的時間，以及促進團隊合作。在專為可靠的 AI 而設計之平台上進行創新。再來後面講到的是Azure Notebook using Python，在以前就已經有學過些許的Python，所以在理解上就沒有那麼的困難，可以看出Python也是經常被大家使用的一個程式語言，透過今天的課程我又可以再次熟悉Python，感謝今天的講師所準備的課程，對我們有很大的幫助，相信在未來的工作上我們也是有機會接觸到的。  
003	W12	154	66	  既之前這位講師介紹過Azure平台使用，今天介紹Notebook的使用，讓我們了解在市場上知道客戶群的行為，與不知道客戶群的行為，所採取的行動差異，如欲吸引新客戶，應要採取哪種行動，MSMLPOC的實作，講說與Data相關的服務可能會使用到哪些，並細說其功能，Azure ML Service講解各個部份，每個部分會使用到的程式，或者是遇到的問題，建立NoteBook，juptyer的使用，再將其連接至workspace，建立Experiment，現在企業大多遇到的問題，是沒有一個環境來訓練Model，所以這個程式能在雲端建立以讓企業使用，MNIST Dataset的介紹  
005	W12	218	92	  Automated machine learning  可以使用自動化 ML 來建立 Python 模型，並將它轉換成 ONNX 格式。 ONNX 執行時間支援C#，因此您可以使用在C#應用程式中自動建立的模型，而不需要任何預先編碼或 REST 端點引進的任何網路延遲。 請在此 Jupyter 筆記本中嘗試此流程的範例。  在Azure平台建立machine learning環境，在jupyter run程式 & load data & 連線與Azure動作，製作一個model。準備資料、定型、測試、部署、管理和追蹤機器學習模型而不需撰寫任何程式碼。 不需要設計程式，就能以視覺化方式連線資料集和模組來建構模型。  這些專業領域的資料科學家了解哪些特徵是合適放入到商業解法中的。他也了解怎麼選擇一個模型應該被拿來使用以及放入到產品之中進行預測。  
006	W12	158	68	  App Service 支援多種程式語言與其框架，包含 .NET, .NET Core, Java, Ruby, Node.js, PHP, or Python。除此之外，開發人員能透過 App Service ，與目前現有的框架與持續整合工具進行整合，有助於提高開發者的生產力。除此之外，Web App 可以使用 API 應用程式 (支援 CORS) 和移動應用程式 (如：推送通知)。多數情況下， Web App 是最佳選擇 Azure Function 是一種 Serverless 運算服務，您只需要執行您的程式碼而毋需配置或管理 infrastructure。Serverless 讓開發人員免於運行系統過程中複雜的操作。  
007	W12	184	79	  我覺得每次聽石江洛講師的講座都會發現蠻多有趣的社會面和一些對人處事的態度和方法，有點好笑但又蠻貼切的，而且在他的講座也能學到不少東西，像是這次就用python做了最基本的機器學習和一些備份...等知識，讓我們在有限的時間內了解到內部最簡單的知識和操作，也讓我們了解一些運作和注意的小地方，畢竟現在對我們學生來說，有興趣才會在自己私下慢慢鑽研以及做更深入的學習，透過這次講座，使我多了一個以前沒碰過的平台能夠實作，希望之後自己也會嘗試在上面跑一些模型。  
008	W12	161	69	  今天的講師是前幾天也有來演講過的，很喜歡這位講師，覺得他講的話都很能說服人，會很想聽他分享他的經驗，今天在講Machine Learning，是現今非常常用的技術！！開發人員和資料分析師加速整體的機器學習生命週期，這樣就可以加快產品上市的時間，也可以促進團隊的合作，一舉兩得！  機器學習真的很常聽到，日常生活中很多東西也有使用到，之前在寫專題時我們原本也要用到，可是那時候我們都還不了解，學習這個是有點困難的，因此就沒有使用了。而今天是算第一次瞭解整個ML的運作流程還有相關的知識，真的很神奇啊！電腦很厲害，這項技術真的很實用，可以省去了很多麻煩。  
009	W12	161	70	  今天來的講師是台灣微軟專家技術部技術架構顧問- 石江洺講師，看名字就知道這是一個很厲害的人，這位講師已經來第二次了，還記得上次他跟我們分享了很多待在微軟的故事還有一些經歷，也因此讓課程沒能上完，但對我來說，比起上這個未來不知道會不會用到的技術，還是比較喜歡聽講師的人生經歷，感覺可以得到許多啟發，而且講師自己也說了，比起教我們這些技術的東西他比較希望多說一些可以啟發我們或他自己的一些小故事，所以我還挺喜歡聽這位講師上課的，感覺吸收到的東西比較豐富，感謝這堂課請來這麼多這麼好的講師。  
010	W12	219	92	  透過講師講解過後，我了解了Azure Notebook是一個互動式的筆記本．讓你能夠將程式碼和文字註記放在一起，方便閱讀。Microsoft Azure Notebook 提供了很多執行環境，以及範例程式，提供使用者方便撰寫測試和執行測試的工具，包括：R, Python, F#, 以及各式各樣可以使用的 Library，讓使用者節省很多環境安裝設定的時間。以透過 Azure Notebook 提供的範例程式，先 Clone 到你自己帳號下的 Library 之中，然後就可以一步一步慢慢執行測試，也可以自行輸入程式碼做測試，使用環境和 Jupyter notebook 非常相似，但是 Azure Notebook 提供了一些直接和 Azure cloud service 整合的工具，讓你可以更方便的跟你的 Azure 雲端環境整合在一起。很謝謝講師這次的分享！  
011	W12	107	60	  這次的上課內容比較偏向程式碼的部分，並且介紹該怎麼使用以及Azure 能帶來什麼好處。經過這次上課雖然還不是很了解今天內容的確切的用法。但是，回朔到幾個禮拜前，那時我還不清楚Azure的功用，對Azure仍然一無所知，現在至少慢慢知道Azure在幹嘛了，以及透過課堂學習慢慢了解到裡面的功能，雖然不能說對每一個功能都聊若指掌，但至少有個概念了。  而且今天的講師非常的用心教導大家，上課時也分享很多出社會後的心路歷程，我覺得這些對我的幫助很大，講師也很關心的問大家有沒有問題，覺得今天的內容滿豐富的。  
