seatno	assignment	score	grade	comment
001	W03	225	76	  這週的講師介紹了許多Azure虛擬機器服務的內容，雲端服務模型以及儲存體架構，課堂最後帶著同學們架設虛擬機。透過講師的介紹使我更加清楚地了解雲端服務，也意識到雲端服務對未來的重要性，相較於實體伺服器機房雲端服務的便利性及不必再花大錢在維護伺服器機房，直接使用Azure的後台管理系統。對於我來說，我認為雲端服務是種趨勢，可這樣代表不僅僅是大部分人的電腦系統，連自己企業的資料系統程式都是建立在微軟下，會不會造成微軟又在獨大，之後的費用有沒有可能越來越高?!  
002	W03	220	75	  今天的企業雲端應用趨勢與實務課的講師在工作的經驗上有著相當吸引我們的工作背景，像是曾經在GARENA工作過，GARENA這個遊戲公司的英雄聯盟可以說是目前最受年輕人喜愛，甚至是有舉辦國際性大型比賽的遊戲，遊戲的歷史也將近十年了。這會讓我更想了解今天的講師所講的內容，其中有關虛擬網路的部分也相當吸引我，希望透過今天的課程我可以更了解有關虛擬網路的細節，也更進一步的學到更多有關AZURE的功能、技能，透過微軟的講師來講解這些東西，相信我們更能了解設計理念以及各項設計的詳細功能及用途，感謝微軟的講師。  
003	W03	316	98	  這堂課由剛進入微軟的學姊介紹，首先雲端服務模型分為四個其分布的功能等等，開始講說Iaas層級的服務類型，Azure Storage的類型Blob百分之80都是選擇他來運作，Azure儲存體複寫的方法從LRS本地到ZRS區域到GRS的異地儲存，最後RA- GRS讀取權限和異地傳遞，再來介紹Microsoft Azure的定價計算機，了解他們如何去做定價，其中的運作是如何傳遞資訊的，細說一開始提到的雲端服務模型，四個模型在使用者以及供應商的不同，介紹NSG的功能過濾可以進出VM和Subnet的流量，實作介面Directory+Subscription的認識，DashBoard的客製化提及，最後講說Virtual Machine的建立教學進行實作，讓我們能更深入的了解。  
004	W03	43	60	  今天講師的重點是Azure 平台虛擬機架設。她先介紹了Infrastructure as a service, Iaas, 分成4個層面包括Compute, Networking, Storage, Security and Management. Compute 為虛擬機器的概念。其中基於機器設定的不同，虛擬機器的種類大致分成了9個種類。Storage是azure蠻重要的一個服務，其中提到了Netflix 作為例子。也分成了大致5種類型。   之後就開始了虛擬機的架設。  
005	W03	179	70	   **Azure laaS** **層級的服務**  當天很高興上了一課可以了解Microsoft Azure部分服務與服務內容的知識，學懂如何建立一個Virtual Machines，還有在建立時要注意的細節。這個微軟平台十分安全和線路穩定，讓使用者放心去使用，打造自己所需的服務。  在未來我所需要的服務不再需要一個一個從網上下載，例如VM或資料庫，而是從那個的平台付費使用，利用一個平台管理多個服務，其他服務有待研究如何去運作或設定，目前還不太了解這個平台的其他服務各項運作，希望這個平台有合適而且對我日後的興趣有幫助的服務，由於各服務要付費的關係，現時應該不會使用。  
006	W03	95	63	  在Afra Wu就任於  ## Microsoft Technology Solutions Professional  這樣的職位向我們解釋微軟  這次的演講主要是專注於如何運用laaS,  並且強調基本的計畫應用與經營的任務，  如何確保虛擬機器的安全以及高運用性，  以及去決定virtual machine 的工作區跟更正，  去製造，去計畫，去發展Azure Windows virtual machines  跟如何去發展、匯入匯出這一個virtual disks.  在微軟這樣科技產業的領導者，  這樣帶領全球的軟體服務  在公司工作的人我想他們都有擁有自己的使命，  用著積極熱情去發展軟體的前程  讓每個人都能獲取到最好的服務  我想這大概就是工作的核心點  
007	W03	243	79	  我覺得講師將各個儲存體類型、定價計算方面與如何部署...等，都講解得非常清晰，清楚地整理內部運作和串接觀念，像是部署的區域、備援等級的差別，對於我們一些剛入門於Azure的新手，能輕鬆得進入而且友善的。今天比較偏向解釋和說明的部分，不過一步一步的帶著做加上說明，能夠更加了解每項細節的功能與作用，感覺其實微軟對於創建和資安的預防都做到很細節。很期待之後能夠有更多不同的實作，在未來使用azure平台的服務能更加得心應手，並將資料建立在雲端上。  
008	W03	265	85	  經過上禮拜的講師先介紹Azure後，對Azure的應用滿感興趣，而這次又細講了好多項目，像是IaaS層級的服務類型裡頭分為Compute、Networking、Storage、Security and Management，但在介紹前面兩項時其實有點跟不上，可能是有太多專有名詞沒聽過，所以不懂現在是在說什麼，或是像講師問我們有沒有使用過虛擬機？我也沒有操作過，導致當下很多知識都有點難以吸收…。  後來講師有直接開網頁實際操作一次給我們看，就有比較懂現在是到什麼步驟，雖然還不太熟悉，但我想如果下次使用到的話，有個印象應該就會比較好上手了！  
009	W03	219	75	  今天的演講讓我又再一次開始想一件事，就是自己到底未來想要做什麼，一開始業師有稍微提到他為甚麼會選擇這份工作，這讓我開始在想自己會適合和業師一樣的工作嗎，因為今天聽完後我的感覺就是打從內心的讚嘆與佩服，很訝異年紀輕輕24歲就可以懂得這麼多東西，而且業師也有提到，趁年輕還可以肝可以熬夜的時候，多學一些東西，不然老了可能就不像現在吸收力和學習力這麼好了。   今天聽下來雖然有很多的問號，太多專有名詞了，但也讓我學到了很多有關Azure平台的使用方式還有如何創建一台虛擬機以及虛擬機的種類原來各有其功能與配件，而且也讓我體會到了一件事，自己要學的東西還很多呢，雖然未來不一定會走這一條路，但不管是哪條路，學習之路還很長，現在的我之後還有很多東西要學，期許自己可以像今天的講師一樣正向積極。  
010	W03	85	61	  聽完講師講解完後，了解了Azure雲端服務模型的相關知識，以及Azure Storage的類型有哪些。透過講師一步一步仔細的操作給我們看，我也能輕鬆學會如何操作這些多樣的功能。   了解了Azure 是唯一的一致性混合式雲端，其支援的區域比其他雲端提供者還多、可提供無與倫比的開發人員生產力，以及最全面性的合規性範圍 — 包括符合一般資料保護規定 (GDPR) 的要求。   也從講師那邊知道了一些有關Azure資訊，在 Azure Marketplace 裡有各式各樣的內容，有虛擬機器的映像檔，也有開發人員的加值服務以提供各類 API 來讓開發人員使用，除此以外過去的 Azure DataMarket 資料服務也都整併到 Azure Marketplace 裡，陸續會再推出 Dynamics、Azure Active Directory 、API Apps 以及 Web 應用程式等服務。   希望未來還能夠更進一步的了解到許多有關這方面的相關知識。  
