seatno	assignment	score	grade	comment
001	W05	229	89	這周講師介紹的主題是Azure DevOps。   DevOps 是開發 (Dev) 和作業 (Ops) 的複合，是人員、程序與技術的聯合，可持續不斷為客戶提供價值。   DevOps 對團隊代表了什麼意義？DevOps 能讓先前各自獨立的角色 (開發、IT 作業、品質工程和安全性) 互相協調並共同作業，以生產更好、更可靠的產品。藉由採用 DevOps 文化特性和 DevOps 做法及工具，團隊能更妥善回應客戶需求、對其建置的應用程式更具信心，並更快速達成業務目標。  
002	W05	175	66	  今天的企業雲端應用趨勢與實務課程的講師主要介紹的是 AZURE DevOps，首先講到的是What is DevOps? DevOps is the union of people,process, and products to enable continuous delivery of value to your end users.用中文來解釋 DevOps的話就是：DevOps是一種重視「軟體開發人員」和「IT運維技術人員」之間溝通合作的文化、運動或慣例。透過自動化「軟體交付」和「架構變更」的流程，來使得構建、測試、發布軟體能夠更加地快捷、頻繁和可靠。 傳統的軟體組織將開發、IT運營和品質保障設為各自分離的部門，在這種環境下如何採用新的開發方法，是一個重要的課題。今天的這個主題對我們來說有相當大的幫助，希望自己能夠多增進這部分的相關資訊。  
003	W05	178	67	  這堂課介紹Azure Devops，首先介紹Devops是什麼，是由使用者、過程、產品三P所結合而成的一項軟體可以傳送連續性的價值到各個使用者，以上課所展示的連續性迴圈進行活動，介紹Devops是一款有彈性並強力又開放的並一一介紹其特性，由五個Azure軟件可以湊成一個完整的Azure Devops，介紹各個軟件的功能，看板的部分必須建立一個情境以完成接下來的步驟，做什麼事情、Log等等，才能成為一個功能或Code，再來由講師示範如何撰寫程式及設定，實作。第二節課教我們部屬以及用Azure Pipelines來設定CI，練習使用Azure Devops release pipeLines。  
004	W05	186	68	  Azure DevOps可拆解為開發人員及操作人員。Develop為開發出了個東西，可不可以用，可上線，可交付讓企業賺錢。Operations為開發出的東西可不可以用，要怎麼去維護他。管理server，資料庫等等。開發人員和維護人員能夠有很好的互動模式或通過技術來交付工作。透過azure來和其他員工互動、溝通。DevOps的形成主要是people, process,products. 從需求到計畫，執行操作，追蹤，開發，發表。  DevOps可幫助提高revenue，縮短了開發時間，降低錯誤率，縮短修復時間。  
005	W05	192	71	  Azure DevOps  DevOps 的好處更多基於在於持續部署與交付，這是對於業務與產品而言。而 DevOps 始於接受 DevOps 文化與技術方法論，它是部門間溝通協作的一組流程和方法，使開發人員與 IT 運作團隊人員的溝通與團隊合作。  我覺得這個開法環境滿厲害，這工具可以透過自動化測試與持續整合以小增量的方式進行逐一查看。也可將這些程序自動化，可讓其變得易於調整、重複和控制。在設計開發軟體時，及時提醒開發者會對避免這些問題大有幫助。通過持續集成，開發人員可以從人工任務中解脫出來，提高工作效率，因為現在CI中以自動化方式完成自動構建任務，並且由於更加頻繁的測試，錯誤和bug更容易找到和解決，從而最終用戶的更新可以更快，更頻繁地進行。  
006	W05	149	62	  由微軟技術部來介紹  AZUREDEVOPS:  是由一群人、PROCESS與PRODUCTS能夠持續性傳輸價值給你與使用者，  開發者要在現有的技術下去做或者去導入新技術才能夠完成，  Monitor&Learn道計畫與追蹤，發展與建置測試儲存後交由操作人員，  從中能夠介紹出git source control逐漸運用在各個企業中，  在pipeline中整個自動化處理的過程，而在企業在使用中藥經過一大段流程，在過程中會在主線中有分支，為的是不讓主線被破壞並且有彈性，做完之後在許多程式語言之中每個語系都不同，依照自己所使用的模式。  
007	W05	122	60	  聽完這次演講，我覺得這次演講講得有點太快跟不太上，雖然前述的部分可以很快得帶過，像是知道能夠做到什麼，達成什麼目的，查看哪些訊息和一中的原理之類的，不過實作的部分，還沒有打完就已經在講下一步了，幸好中途下課有趕快補上，才勉強有跟到，雖然很多東西沒有吸收到，不過還是學到蠻多的，而且再次見識到Azure的強大之處，能夠做到的事情非常之多，還會記錄下你所做的每一步驟，讓使用的當下都必須注意每一步細節，才不會頻頻出錯而跑不出結果。  
008	W05	197	74	  這是我第一次聽到這個名詞「DevOps」，課堂上講師先介紹了定義，讓我們初步了解，DevOps是開發(Dev)和作業(Ops)的複合名詞，是人員、程序與技術的聯合，可持續不斷為客戶提供價值。DevOps能讓先前各自獨立的角色(開發、IT 作業、品質工程和安全性)互相協調並共同作業，以生產更好、更可靠的產品。藉由採用DevOps文化特性和DevOps做法及工具，團隊能更妥善回應客戶需求、對其建置的應用程式更具信心，並更快速達成業務目標。  很開心能學習到這一個單元，雖然因為第一次接觸，所以有一點聽不懂，但如果未來能採用這項工具，就能讓整個團隊獲得更高的效能了！也能更快的將客戶的產品建置好並提高客戶滿意度。然後好期待下一堂的課堂內容!!!  
009	W05	66	60	  今天講師帶我們講了Azure裡的一個功能Cloud shall，聽起來真的有點複雜而且在操作過程中又很怕出錯，程式這種東西只要有個小地方出錯就要一直Debug，而且我們操作的還是有些功能需要付費的Azure，很怕不小心按錯就導致要繳很多錢，雖然今天課堂上講的成果沒有成功弄出來，但也是又認識到了Azure裡的一個功能。  在這堂課學到的大概就是細心了，在弄這些東西的時候要注意很多小細節或是要照著步驟走，不然很容易會出問題，現在幾乎每次上課都有教Azure的一個功能，而每次光講一個功能就會花很久的時間講解還有操作，雖然這樣但也逐漸對於Azure越來越了解。  
010	W05	224	88	  上禮拜聽了講者介紹Azure DevOps，在講者介紹這個東西之前，沒有聽過這個名詞，當經過講者的介紹之後，雖短時間內沒辦法快速完整的了解所有的相關內容，但大致上的概念以及操作方式已經有些微的理解，再透過回家時按照影片中的講者所介紹的內容，一步一步去實作，能透過這個方式令我對這項Azure DevOps更加理解，未來希望有機會能更加深入暸解其中的內容，也希望能透過，Azure DevOps來達到敏捷開發的目的，使用Azure DevOps既能符合我們的需求，又能跟我們其他的程式碼整合，我覺得相當方便跟實用。    
011	W05	174	66	  這次的上課內容，是有關Azure DevOp，並且介紹該怎麼使用以及Azure DevOp能帶來什麼好處。經過這次上課雖然還不是很了解Azure DevOp確切的用法，大概知道是一個可以開發和網站相關的功能。但是，回朔到幾個禮拜前，那時我還不清楚Azure的功用，對Azure仍然一無所知，現在至少慢慢知道Azure在幹嘛了，以及透過課堂學習慢慢了解到裡面的功能，雖然不能說對每一個功能都聊若指掌，但至少有個概念了。  而且今天的講師非常的用心教導大家，上課時會走下來看看底下同學有沒有跟上教學的進度。由於今天的教學，有一部分是程式碼，所以內容比較生硬一點，講師也很關心的問大家有沒有問題，覺得今天的內容滿豐富的。  
012	W05	209	81	  在這堂課企業雲端應用趨勢與實務中，今天10月8日邀請到微軟的黃承皓講師進行演講，延續上次的Azure的介紹，而這周更增加了實作的部分，講師一步一步的帶我們體驗微軟Azure有哪些功能，甚至更深入做某一個功能該如何設定，還將他GitHub的程式碼及設定提供給我們使用也教我們GitHub該如何使用，這次的演講學到很多不一樣的東西有Web APP，還可以將此設定成免費的，雖然我還沒有到很熟悉但回家之後還是會繼續試試看老師今天教微軟Azure的設定該如何使用，以便下周我能夠跟得上。  
013	W05	183	68	  今天講師的臺風較為沈悶，平穩的講述，相較前面兩位講師，會較難勾起我的興趣。  今天的主題Azure DevOps相當有用，裡面也提供相當多對於我們開發自己的程式時能夠有效幫助我們管理開發進程的工具，而且Devops能夠跟github做串接，讓我們開發起來更加方便，其中Azure Boards裡面可以使用現金相當常用的敏捷開發來管理進程，是小組討論時能更加有效率。Azure repos則是提供雲端的共同作業服務，這也讓我們多人可以同時對一個專案進行修改，也讓我們能夠更順利的整合程式瑪，此功能還可以配合Azure pipelines將程式放置在不同程式平臺進行平順部屬，讓服務在版本更新時可以更順暢而不中斷。  
014	W05	189	69	  今天是請到黃承皓講師，Azure DevOps分成兩大塊：開發 (Dev) 和作業 (Ops) ，用一句話說明Azure DevOps: Devops是一群人跟程序和技術的結合，可持續不斷為客戶提供價值。  Azure DevOp是一個大的service 裡面分成5個模塊，分別是Azure Boards、Azure Pipelines、Azure Repos、Azure Test Plans、Azure Artifacts。    1. Boards使用工作流程看板、待辦項目、小組儀表板和自訂報告來追蹤工作，即便是最複雜的專案，也能利用 Boards、協助提升團隊的產能   2. Pipelines自動化建置軟體，提供任何語言、任何平台，部署到任何雲端   3. Repos免費的私人 Git 存放庫、提取要求和程式碼搜尋、Webhook 與 API 整合   4. Test Plans規劃與探勘測試計畫   5. Artifacts使用它來簡化複雜的建置作業  
015	W05	182	67	  我覺得這星期的課比較沒有像上星期那麼有趣Azure DevOps是使用一組現代化的裝置服務更聰明的規劃、更佳的共同作業並更快的交付。Azure DevOps 裡面又包含了許多不一樣的實作工作流程有Azure Boards使用經實證的敏捷式工具與所有小組一起規劃、追蹤及討論工作更快傳遞價值給您的使用者。敏捷式規劃工具使用可設定的工作流程看板、互動式待辦項目和強大的規劃工具來追蹤工作。無可媲美的追蹤與報告能力讓面板成為實現您所有想法 (不分大小) 的理想位置。Azure Pipelines以適用於任何語言、平台和雲端的 CI/CD 建置、測試及部署。連線到 GitHub 或任何其他 Git 提供者並持續部署。適用於任何平台的 CI/CD以任何語言建置、測試及部署到任何雲端，或在內部部署進行。在 Linux、macOS 和 Windows 上同時執行，並將容器部署到個別主機或 Kubernetes。Azure Repos取得無限的雲端託管私人 Git 存放庫並透過提取要求和進階檔案管理來共同作業以建置更佳的程式碼。無限制的免費個人存放庫取得彈性且強大的 Git 主機，以有效地進行程式碼檢閱，並為您所有的想法提供無限的免費存放庫，從單人專案到世界最大的存放庫。Azure Test Plans使用手動與探勘測試工具放心測試及交付。手動與探勘測試時常測試並放心發行。使用適用於您應用程式的手動與探勘測試工具來改善您整體的程式碼品質。Azure Artifacts建立、裝載套件並與您的小組共用只要按一下即可將成品新增至您的 CI/CD 管線。我們可以根據自己的需求去選擇。通用套件存放庫與您整個小組共用來自公用和私人來源的 Maven、npm、NuGet 和 Python 套件。以簡單且可調整規模的方式，將套件共用整合到您的 CI/CD 管線。  
016	W05	212	82	  AzureDevOps是為了一群人、程序和產品，可以穩定的傳送給你的終端需求。  AzureDevOps有五大部分：Azure BOARDS、Azure PIPELINES、Azure REPOS、Azure TEST PLAN、Azure ARTIFACTS  透過AZUERDEVOPS可以實現版本控制等等的功能，提供我們除了GITHUB一個另一項選擇。此外，AZURE DevOps 能讓先前各自獨立的角色互相協調並共同作業，以生產更好、更可靠的產品。藉由使用DevOp做法及工具，團隊能更妥善回應客戶需求，更快速達成商業目標。他的優勢是可以縮短上市時間；可以適應市場與競爭；保持系統穩定性和可靠性；改進平均復原時間  
017	W05	232	90	  先講述DevOps是新的類似敏捷開發的方法，分為Development和Operations是一種重視軟體開發跟IT運維技術人員之間的溝通與合作，是人員、程序與技術的聯合，可持續不斷為客戶提供價值。而Azure DevOps採用雲端可從根本上改變團隊建置、部署及操作應用程式的方式。同時採用 DevOps，可讓團隊擁有更多機會來改進其做法，並為客戶提供更佳的服務。以無限量資源快速佈建及設定多區域雲端環境的能力，團隊可靈活地部署應用程式。DevOps 是一種文化特性，旨在促進軟體開發和維護過程中所有角色間的共同作業。敏捷式開發是一項開發方法，旨在於需求不斷變化的普遍現實情況下，保持生產力和加速發行。DevOps 和敏捷式開發並不會互相排斥，且通常一起實踐。  
018	W05	215	84	  這禮拜的課程主題為Azure DevOps，整體聽起來感覺非常專業，相對的也非常複雜，如果沒有這門課，我可能一輩子也不知道有這項技術可以使用，而且也不知道該如何使用它。  這次課程內容操作起來很複雜，但經過演講者一步一步的解釋帶領，雖然依舊有些疑問的地方，但好像能夠了解了一些，果然學習是得靠日積月累的，並不是一天就能促成的，看著演講者能夠這麼快速詳細的解說，想必他一定下了不少功夫在上面，遇到問題能快速的解決，感覺非常厲害，希望有朝一日也能成為這麼專業的人。  
019	W05	213	82	  這次課堂上老師從介紹DevOps開始，DevOps可提升組織快速處理應用程式和服務的能力，比起傳統軟體開發與基礎設施管理程序的組織，這種作法能更快速地開發和改進產品，讓組織可以提供更好的服務給客戶，並在市場上更有效率地競爭。也介紹了DevOps的優點，像是速度、快速交付、可靠性、擴展等等的方便之處，讓我印象最深刻的是自動部署工具－Jenkins，因為現在的市場需求或是技術都變得很快，如果想配合市場需求，開發週期也要變的很短並且能快速更新，這時Jenkins當我們寫完程式後他可以自動幫我們測試並檢查自然開發的速度就能越來越快了。就是我們最好的工具介紹完後講師又帶我們實際示範了一些他所介紹的DevOps功能讓我們更好了解如何使用。  
