seatno	assignment	score	grade	comment
001	W13	283	77	  這周講師介紹了Azure 技術推動企業數位轉型的應用方向，數位反饋迴路「吸引客戶」、「優化操作與流程」、「賦予員工能力」、「改造產品服務」，達到其中一項就有機會可以加以投資發展，以及保三保四的概念。隨著技術的進步推動許多企業陸續轉型，人工智慧更是能完善製造業的自動化，醫療業對病人無死角的照顧。雖然技術進步帶來便利，發展更近一步，但不可否認的是，製造業的自動化可能會造成許多人失去了工作。技術進步固然為好事，原本待在製造業的員工失去了工作，該如何轉型更是接下來我們的政府會要來面對的問題。  
002	W13	328	91	  本周的企業雲端應用趨勢與實務課程其中有幾個令我印象深刻的介紹，其中有Digital Twins，這個項目又分為啟用語音和視覺識別、自動執行基線任務、過程模擬，講師有舉了幾個有趣的例子，像是門鎖可以利用ID識別來解開，或者是透過臉部辨識來看出學生的出缺席狀態，甚至是在演唱會時，若警察需要追捕嫌疑犯，透過臉部辨識系統，就可以在茫茫人海迅速找到犯人，省去了不少的麻煩，這些有趣的開發，若是能在未來實現，對我們的生活會有一定程度上的提升，不管是便利性或是安全性的層面。最後感謝講師今天用心的演講！  
003	W13	314	85	  今天的課程介紹智慧製造、金融、與零售的創新場景，說明了台達電與微軟戰略合作摘要，微軟提供了Azure IoT，並帶動了技術、產品等等，而台達電更是藉由微軟Azure混合雲服務遍布全球，進而簽訂MOU，能使用大數據分析以減少產品失誤率，講說了數位顛覆及四次工業革命，這個時代不斷改變，只有不斷創新，才能創造更有價值的物件，從以為無人機、3D列印這些都至少少了三位數的營收，估值達到10億的企業速度越來越快，競爭也會更加激烈，說明創新的科技為使用者帶來的體驗改變，以及製造業的轉型框架，以圖示讓我們了解未來工廠的路線藍圖，說明數位帶來的改變，而在未來金融的關鍵，卻不僅僅只是數位，AI和API服務才是關鍵，講述APIS發展大概能分為四點，開創新商機、快速創新、建立金融價值、將產品轉化成平台，並讓我們思考數位轉型如何帶給顧客價值。  
004	W13	118	66	  在未來我們可見許多企業都會結合許多的電腦技術。而創新的科技也為使用者的體驗帶來巨大的改變。數位反饋回路可吸引客戶，優化操作與流程，改造產品與服務，賦予員工能力。講師提供許多例子來解釋整個過程。  Digital Twins    * 啟用語音和視覺識別   * 自動執行基線任務   * 過程模擬  製造業工作場所現代化    * 電腦輔助   * 混合現實指導   * AI組裝驗證  實現安全保障的人工智慧    * 認知語音、圖像和面部識別   * 通過聊天機器人進行協作   * AI幫助互助操作  
005	W13	313	85	  今天的胡德民總經理的演講，談論人工智慧的發展與未來趨勢。  人工智慧正越來越多地進入並改變著我們的日常生活。當你在網上購物時，對話式線上機器人能準確理解你的需求，迅速解決問題；在醫院，人工智慧可以幫助醫生檢測病情……可以說，人工智慧正深刻地改變著人類的認知與生活。但同時，人工智慧的發展也給人類帶來一絲隱憂。  製造業透過AI的深度學習技術，可大幅精進機器視覺、大數據分析，讓機器協助人做出更正確的決策，賦予製造業更多智慧與彈性、擺脫削價競爭，實現少量多樣的生產模式。  綜合以上，AI無形中幫助我們篩選出有用的資訊，讓生活更加便捷。AI發展的本意非取代，且仍然無法全然取代，目前還處於互相依賴的關係。  
006	W13	329	92	  醫生說要吃什麼藥，病人乖乖照辦，不會去質疑醫生的專業性；而專業的運動選手，已經具備優異的天賦、強力的競賽條件、明確的企圖心，這時候他所需要的，是新機會與新目標的發掘、持續優化本身的競爭力、以及一路相扶持的夥伴關係。  你的客戶已經不再是茶來張口、飯來伸手的病人，這時候若還沒有覺悟到自己立場的改變時機，要不就是乖乖等著客戶生病，更多的是被客戶遺棄，成為過去的美好或不美好的回憶。  
007	W13	280	76	  聽完這堂講座，聽到很多軟硬體上的應用以及各種生活科技的發展是如此的快速，尤其在金融理財上，在很多網路銀行更是明顯，然而我們從小選擇權總是受限在可能是父母、或是身邊認識的人身上，進而就很容易忽略了金錢該怎麼去理、怎麼去花、怎麼去存，所以永遠不知道怎麼錢滾錢，總是賺了多少花多少並不能靈活運用。  所以在我們還在專研自己的技術時，也該知悉財務金融是如何運作，每個國家市場的生態，舉例來說在大陸，就可以很容易看到大部分的人都在使用行動支付，那如果將食衣住行育樂各個方面結合在一起，那是如此可觀。  
008	W13	296	79	  今天的講師是台灣微軟專家技術部暨微軟技術中心總經理以及微軟新創加速器執行長，看到這兩項頭銜時，內心除了敬佩還是敬佩！今天在講現今的科技、技術的改革及轉型，以前一間公司要達到10億美元的營業額可能要花10年，但現在的公司配合著創新的技術及行銷，兩年就可以達到這個目標了，可見現今的技術是有多麼重要。  而現在傳統製造業也在開始改變、進行改革，除了轉變業務模式、一些數據的改變外，也要有模擬的過程，甚至跟AI配合互動的操作，除了讓流程很順暢外，也是實現安全的提升！改革很重要，但要成功改革且有品質的保證才是更重要的!  
009	W13	99	63	  這次來演講的講師是專業技術部暨微軟技術中心的總經理-胡德民，這次演講讓我印象深刻的有兩個地方    1. 影片中提到會讓替代人工的機器出錯率降到2%   2. 講師提到台灣很缺Programmer  第一點會讓我印象深刻的原因是在於現在人人都知道，很多人工製造業都會被機器給取代掉，據影片的說法之前的出錯率還有到10%以上，現在居然就有人保障說可以降到個位數就覺得科技技術真的是一件很不可思議的事。  第二點是因為Programmer這條路雖然不是我的首選，但如果逼不得已還是得走的話，還是得去考慮到台灣市場對於Programmer的需求。  
010	W13	302	82	  透過講師講解了許多有關技術推動企業數位轉型的應用方向過後，了解隨著人工智慧越來越強大，智能機械正改善我們的生活，然而不僅是技術的快速發展，人類的想像早已延伸至更遠之處。雖然機器人在未來是如此重要，但實際上就算再怎麼高效仍然會存在盲點，有可能會被有心人士愚弄甚至是利用，例如機器其實並沒有想像中的那麼中立，因為人工智慧也是通過學習而建立起來的，所以人類一樣能夠帶給機器偏見並使其產生錯誤的判斷，例如 Google 曾發展一項技術，將影像識別用於預測未來罪犯時，卻發現其擁有對於黑人的偏見，這就是一個嚴重的問題。未來我們要怎麼運用這些人工智慧也是一個相當值得探討的議題。  
